base,level,mean_score,stdev,n_trials
anthrax,0.0,100.0,0.0,15
anthrax,0.05,82.07,7.19,15
anthrax,0.1,53.18,8.81,15
anthrax,0.15,41.98,10.08,15
anthrax,0.2,32.4,9.84,15
anthrax,0.3,19.47,5.43,15
anthrax,0.4,14.97,4.57,15
anthrax,0.5,11.8,3.15,15
anthrax,0.6,10.21,2.31,15
anthrax,0.7,8.94,2.57,15
anthrax,0.8,8.92,1.52,15
anthrax,0.9,7.86,1.65,15
whore,0.0,100.0,0.0,15
whore,0.05,47.61,14.95,15
whore,0.1,55.07,11.27,15
whore,0.15,50.55,15.05,15
whore,0.2,51.52,17.55,15
whore,0.3,32.75,14.02,15
whore,0.4,13.04,7.07,15
whore,0.5,7.84,6.56,15
whore,0.6,8.93,4.42,15
whore,0.7,4.06,3.49,15
whore,0.8,6.78,2.46,15
whore,0.9,4.33,2.6,15
relock,0.0,100.0,0.0,15
relock,0.05,72.84,4.42,15
relock,0.1,47.53,7.28,15
relock,0.15,30.52,6.21,15
relock,0.2,22.56,2.99,15
relock,0.3,12.46,2.82,15
relock,0.4,9.57,2.12,15
relock,0.5,6.5,1.62,15
relock,0.6,5.84,1.47,15
relock,0.7,5.85,1.92,15
relock,0.8,5.01,1.4,15
relock,0.9,3.92,1.1,15
Bodmasv2,0.0,100.0,0.0,15
Bodmasv2,0.05,30.28,10.95,15
Bodmasv2,0.1,12.73,4.9,15
Bodmasv2,0.15,7.92,1.92,15
Bodmasv2,0.2,6.49,2.12,15
Bodmasv2,0.3,4.56,1.7,15
Bodmasv2,0.4,3.49,1.36,15
Bodmasv2,0.5,2.35,1.72,15
Bodmasv2,0.6,1.85,1.73,15
Bodmasv2,0.7,2.79,1.46,15
Bodmasv2,0.8,2.55,1.99,15
Bodmasv2,0.9,2.67,1.83,15
anthraxxwhore,unrelated,4.26,0,1
anthraxxrelock,unrelated,2.97,0,1
whorexrelock,unrelated,1.32,0,1
