label,type,dataset,hash,number_nodes,number_edges,number_weakly_connected_components,file_size
0,CFG,DikeDataset,b175881264f15c69ee6819b976e8981a6ebfe07a57b3ac84878de5a55cb26374,203,301,11,1036039
0,CFG,DikeDataset,71e8b80a35184e5061f69b61f3d86be5a03349c8bd0639c26c3152a02346c6f0,203,303,11,1034405
0,CFG,DikeDataset,e26573bf8a8b859d65d3b5e258764384e269ea08fd25a5d68d6a25708798c42f,208,308,11,1089716
0,CFG,DikeDataset,1d2d450742e4ed4fb8486fd7e3892828dd97bbf63f0e23b0975725bdc18ce766,234,360,9,1040159
0,CFG,DikeDataset,9368943831a6e1c8934f9d979c8af44f509a698345a1b20263bc0da7ab311ad3,340,545,11,1143915
0,CFG,DikeDataset,1f7a2d419df3b95ade7f400446abeefaf3c872e8e6033a7e6ac413b17addbaf4,341,578,11,1201312
0,CFG,DikeDataset,dc14743f0c58595e84d80cf3579f6d162d378312c6b017380a1e43c870f9f9fd,352,561,11,1164093
0,CFG,DikeDataset,7320783c6e2941f13cbf3cdc75e649f6d8c1054175aa264693a404cec20f4590,418,724,11,1261734
0,CFG,DikeDataset,af4f6308343a0141f8f48d21b5f7e1946c2983f69841d03399628d558ae03c46,518,973,2,1502218
0,CFG,DikeDataset,238a9de495ddb87555913ec5d1f67bcc22b5d754b21b7ae9da3158461547da00,567,1159,13,1322818
0,CFG,DikeDataset,ad76acddd3ad76afb24795a312e7000c1cb3349a2df4ab9e97eef486fe621c0e,576,994,10,1644188
0,CFG,DikeDataset,69df4166f03247f9694d0300db13485c0c6e4a4cf1b6968118fb4f0f9cf846dd,735,1315,30,1465012
0,CFG,DikeDataset,02431aa60089b968bc59acc69796ed9418546894752d0c9766fbe3aae0a85031,739,1287,24,1341316
0,CFG,DikeDataset,76098cc2969c4a090fba5c863bb3bb52b5ce88bee46da9d46aab0252affa0744,768,1165,10,1354099
0,CFG,DikeDataset,827c8b3a6a54056b200d288c60b29c59e4f67dd9144e96ac79ebc79ece4f4997,771,1157,10,1351496
0,CFG,DikeDataset,5ddb5815973d58798ba373011bf5a5903bfd9b270c4b648032aa7d19153a8f56,776,1158,11,1347059
0,CFG,DikeDataset,4197fc76b3e00145191b260c9ae8e98531d966202669ad39d34137ce303d3566,818,1243,10,1400394
0,CFG,DikeDataset,a424039a96d86ff186981223fe2e78392135fd2ba7a574d73840c4d56a381e39,819,1242,10,1436911
0,CFG,DikeDataset,98bb99c8e2c267a06acd3f55a03a7bbd1770cb1c32a8cd31b44c6d66970cb219,829,1256,10,1424717
0,CFG,DikeDataset,44def887eaf39b6e4a76daa8c59ecb34baa30035825cf5737690d8fc8379ec94,830,1259,10,1413115
0,CFG,DikeDataset,97b3a8f65ae3a3b6d8702923f3be4167626d0fdd249895adcaccc68ad370b735,830,1259,10,1433507
0,CFG,DikeDataset,d4ce45d348c37204792d536142ea19939210303127e8978e8366bfe26709bd07,834,1224,15,1457781
0,CFG,DikeDataset,78dc236cc76e06c9aa253cb95dc297eedb63e4dd1b98335b6cdaa64ce4b1056c,836,1269,10,1429200
0,CFG,DikeDataset,0945da9d00b2629379df481a2be0d9d420c05a727ec2dcbc16255acfd76a8cb3,844,1265,13,1470553
